time,src,dst,latency
250,654,114,98.744536
250,25,759,39.945753
250,281,250,37.568308
250,228,142,41.230566
250,754,104,89.779515
250,692,758,69.819084
250,558,89,-1.000000
250,604,432,-1.000000
250,32,30,2.423068
250,95,223,13.925336
260,654,114,98.748032
260,25,759,-1.000000
260,281,250,37.567908
260,228,142,41.230534
260,754,104,89.854475
260,692,758,69.834117
260,558,89,-1.000000
260,604,432,-1.000000
260,32,30,2.423043
260,95,223,13.939644
270,654,114,98.750123
270,25,759,-1.000000
270,281,250,37.567568
270,228,142,41.230467
270,754,104,89.928423
270,692,758,69.849251
270,558,89,-1.000000
270,604,432,-1.000000
270,32,30,2.423032
270,95,223,13.954065
280,654,114,98.750693
280,25,759,-1.000000
280,281,250,37.567206
280,228,142,41.230435
280,754,104,90.001322
280,692,758,69.864283
280,558,89,-1.000000
280,604,432,-1.000000
280,32,30,2.423004
280,95,223,13.968586
290,654,114,98.749888
290,25,759,-1.000000
290,281,250,37.566831
290,228,142,41.230343
290,754,104,90.073133
290,692,758,69.879356
290,558,89,-1.000000
290,604,432,-1.000000
290,32,30,2.422982
290,95,223,13.983218
300,654,114,98.747631
300,25,759,-1.000000
300,281,250,37.566456
300,228,142,41.230292
300,754,104,90.143818
300,692,758,69.894359
300,558,89,-1.000000
300,604,432,-1.000000
300,32,30,2.422966
300,95,223,13.997949
310,654,114,98.743957
310,25,759,40.012967
310,281,250,37.566098
310,228,142,41.230177
310,754,104,90.213343
310,692,758,69.909415
310,558,89,-1.000000
310,604,432,-1.000000
310,32,30,2.422939
310,95,223,14.012748
320,654,114,98.738796
320,25,759,40.032232
320,281,250,37.565713
320,228,142,41.230084
320,754,104,90.281744
320,692,758,69.924373
320,558,89,-1.000000
320,604,432,-1.000000
320,32,30,2.422912
320,95,223,14.027632
330,654,114,98.732237
330,25,759,40.053800
330,281,250,37.565326
330,228,142,41.230006
330,754,104,90.348917
330,692,758,69.939346
330,558,89,-1.000000
330,604,432,-1.000000
330,32,30,2.422868
330,95,223,14.042560
340,654,114,98.724194
340,25,759,40.077588
340,281,250,37.564966
340,228,142,41.229911
340,754,104,90.414897
340,692,758,69.954230
340,558,89,-1.000000
340,604,432,-1.000000
340,32,30,2.422852
340,95,223,14.057555
350,654,114,98.714780
350,25,759,40.103675
350,281,250,37.564610
350,228,142,41.229808
350,754,104,90.479674
350,692,758,69.969051
350,558,89,-1.000000
350,604,432,-1.000000
350,32,30,2.422866
350,95,223,14.072604
360,654,114,98.703893
360,25,759,40.131909
360,281,250,37.564234
360,228,142,41.229707
360,754,104,90.543148
360,692,758,69.983848
360,558,89,-1.000000
360,604,432,-1.000000
360,32,30,2.422805
360,95,223,14.087692
370,654,114,98.691625
370,25,759,40.162378
370,281,250,37.563849
370,228,142,41.229576
370,754,104,90.605323
370,692,758,69.998556
370,558,89,-1.000000
370,604,432,-1.000000
370,32,30,2.422804
370,95,223,14.102823
380,654,114,98.677882
380,25,759,40.195034
380,281,250,37.563508
380,228,142,41.229458
380,754,104,90.666223
380,692,758,70.013190
380,558,89,-1.000000
380,604,432,-1.000000
380,32,30,2.422759
380,95,223,14.117986
390,654,114,98.662755
390,25,759,40.229816
390,281,250,37.563123
390,228,142,41.229307
390,754,104,90.725785
390,692,758,70.027793
390,558,89,-1.000000
390,604,432,-1.000000
390,32,30,2.422743
390,95,223,14.133197
400,654,114,98.646205
400,25,759,40.266705
400,281,250,37.562730
400,228,142,41.229165
400,754,104,90.784012
400,692,758,70.042294
400,558,89,-1.000000
400,604,432,-1.000000
400,32,30,2.422754
400,95,223,14.148385
410,654,114,98.628281
410,25,759,40.305760
410,281,250,37.562378
410,228,142,41.229063
410,754,104,90.840847
410,692,758,70.056611
410,558,89,-1.000000
410,604,432,-1.000000
410,32,30,2.422712
410,95,223,14.163573
420,654,114,98.608913
420,25,759,40.346817
420,281,250,37.562032
420,228,142,41.228916
420,754,104,90.896329
420,692,758,70.070896
420,558,89,-1.000000
420,604,432,-1.000000
420,32,30,2.422696
420,95,223,14.178799
430,654,114,98.588135
430,25,759,40.389919
430,281,250,37.561634
430,228,142,41.228759
430,754,104,90.950382
430,692,758,70.085124
430,558,89,-1.000000
430,604,432,-1.000000
430,32,30,2.422669
430,95,223,14.193987
440,654,114,98.565985
440,25,759,40.435019
440,281,250,37.561250
440,228,142,41.228594
440,754,104,91.003040
440,692,758,70.099169
440,558,89,-1.000000
440,604,432,-1.000000
440,32,30,2.422627
440,95,223,14.209176
450,654,114,98.542472
450,25,759,40.482098
450,281,250,37.560893
450,228,142,41.228422
450,754,104,91.054220
450,692,758,70.113202
450,558,89,-1.000000
450,604,432,-1.000000
450,32,30,2.422593
450,95,223,14.224346
460,654,114,98.517609
460,25,759,40.531156
460,281,250,37.560518
460,228,142,41.228249
460,754,104,91.103969
460,692,758,70.127019
460,558,89,-1.000000
460,604,432,-1.000000
460,32,30,2.422586
460,95,223,14.239490
470,654,114,98.491294
470,25,759,40.582079
470,281,250,37.560166
470,228,142,41.228117
470,754,104,91.152183
470,692,758,70.140791
470,558,89,-1.000000
470,604,432,-1.000000
470,32,30,2.422566
470,95,223,14.254557
480,654,114,98.463681
480,25,759,40.634832
480,281,250,37.559806
480,228,142,41.227918
480,754,104,91.198948
480,692,758,70.154353
480,558,89,-1.000000
480,604,432,-1.000000
480,32,30,2.422554
480,95,223,14.269635
490,654,114,98.434677
490,25,759,40.689456
490,281,250,37.559422
490,228,142,41.227756
490,754,104,91.244190
490,692,758,70.167783
490,558,89,-1.000000
490,604,432,-1.000000
490,32,30,2.422502
490,95,223,14.284617
500,654,114,98.404371
500,25,759,40.745837
500,281,250,37.559056
500,228,142,41.227556
500,754,104,91.287894
500,692,758,70.181091
500,558,89,-1.000000
500,604,432,-1.000000
500,32,30,2.422520
500,95,223,14.299564
510,654,114,98.372721
510,25,759,40.803989
510,281,250,37.558673
510,228,142,41.227373
510,754,104,91.330085
510,692,758,70.194319
510,558,89,-1.000000
510,604,432,-1.000000
510,32,30,2.422475
510,95,223,14.314435
520,654,114,98.339741
520,25,759,40.863888
520,281,250,37.558305
520,228,142,41.227159
520,754,104,91.370716
520,692,758,70.207289
520,558,89,-1.000000
520,604,432,-1.000000
520,32,30,2.422460
520,95,223,14.329294
530,654,114,98.305438
530,25,759,40.925393
530,281,250,37.557933
530,228,142,41.226952
530,754,104,91.409766
530,692,758,70.220243
530,558,89,-1.000000
530,604,432,-1.000000
530,32,30,2.422420
530,95,223,14.344019
540,654,114,98.269866
540,25,759,40.988539
540,281,250,37.557571
540,228,142,41.226772
540,754,104,91.447275
