Algorithm Name,Compute Time (s),Update Entry (#),Update Entry (Relative %),Failure Rate (%),Avg Latency (ms),Avg Latency (Relative %),P50 Latency (ms),P50 Latency (Relative %),P90 Latency (ms),P90 Latency (Relative %),P99 Latency (ms),P99 Latency (Relative %)
"GSPR",0.17,157.94,+0.00%,0.0455%,51.22,+0.00%,51.49,+0.00%,79.90,+0.00%,91.86,+0.00%
"MHR",0.03,74.25,-52.99%,0.0455%,52.68,+2.85%,52.75,+2.46%,83.32,+4.29%,94.52,+2.90%
"DomainHeuristic_2_3",0.02,12.62,-92.01%,0.4500%,46.54,-9.14%,44.02,-14.50%,79.04,-1.08%,95.27,+3.71%
"DomainHeuristic_7_10",0.02,1.30,-99.18%,0.0682%,47.43,-7.41%,45.80,-11.04%,74.93,-6.22%,98.83,+7.59%
"DomainHeuristic_14_60",0.02,0.17,-99.89%,0.0364%,50.99,-0.45%,49.65,-3.57%,79.21,-0.86%,108.75,+18.38%
